订单号,来源,配送方式,商品金额,期望送达时间,下单时间,打包时间,妥投时间,ctype
43722861,企业团购,配送,478.97,2021-09-30 15:00:00 - 2021-09-30 16:00:00,2021/9/29 12:38,2021/9/30 16:50,2021/10/1 10:00,D
43823308,企业团购,配送,117.9,2021-10-01 10:30:00 - 2021-10-01 11:30:00,2021/10/1 9:12,2021/10/1 9:20,2021/10/1 10:01,B
43824029,美团,配送,64.5,2021-10-01 09:15:00 - 2021-10-01 10:15:00,2021/10/1 9:15,2021/10/1 9:20,2021/10/1 10:12,C
43825536,企业团购,配送,144.24,2021-10-01 10:30:00 - 2021-10-01 11:30:00,2021/10/1 9:32,2021/10/1 9:54,2021/10/1 10:12,B
43826865,饿了么,配送,153.5,2021-10-01 10:30:00 - 2021-10-01 10:30:00,2021/10/1 8:16,2021/10/1 9:12,2021/10/1 10:19,D
43827763,美团,配送,139.3,2021-10-01 09:39:00 - 2021-10-01 10:39:00,2021/10/1 9:38,2021/10/1 9:52,2021/10/1 10:24,C
43828692,企业团购,自提,114.6,2021-10-01 10:30:00 - 2021-10-01 11:30:00,2021/10/1 9:16,2021/10/1 9:23,2021/10/1 10:40,B
43829737,饿了么,配送,55.4,2021-10-01 10:06:00 - 2021-10-01 10:47:00,2021/10/1 10:06,2021/10/1 10:12,2021/10/1 10:43,D
43830514,美团,配送,290.0,2021-10-01 10:34:00 - 2021-10-01 11:34:00,2021/10/1 10:33,2021/10/1 10:39,2021/10/1 11:00,D
43731956,企业团购,配送,448.5,2021-10-01 15:00:00 - 2021-10-01 16:00:00,2021/9/30 9:18,2021/9/30 16:50,2021/10/1 11:05,D
43832954,美团,配送,330.1,2021-10-01 10:54:00 - 2021-10-01 11:54:00,2021/10/1 10:52,2021/10/1 11:05,2021/10/1 11:15,D
43833837,美团,配送,290.0,2021-10-01 10:47:00 - 2021-10-01 11:47:00,2021/10/1 10:41,2021/10/1 10:50,2021/10/1 11:15,D
43834687,美团,配送,330.1,2021-10-01 10:59:00 - 2021-10-01 11:59:00,2021/10/1 10:59,2021/10/1 11:11,2021/10/1 11:16,D
43835176,饿了么,配送,157.68,2021-10-01 10:31:00 - 2021-10-01 11:56:00,2021/10/1 10:31,2021/10/1 10:39,2021/10/1 11:17,D
